2025-03-07 21:18:23,976 INFO    MainThread:340 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-07 21:18:23,976 INFO    MainThread:340 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-07 21:18:24,472 INFO    MainThread:340 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-07 21:18:24,479 INFO    MainThread:340 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-07 21:18:24,479 INFO    MainThread:340 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-07 21:18:24,621 INFO    MainThread:340 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-07 21:18:24,629 INFO    MainThread:340 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-07 21:18:24,629 INFO    MainThread:340 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-07 21:18:24,758 INFO    MainThread:340 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-07 21:18:24,765 INFO    MainThread:340 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-07 21:18:24,765 INFO    MainThread:340 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-07 21:18:27,374 INFO    MainThread:340 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-07 21:18:27,379 INFO    MainThread:340 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-07 21:18:27,379 INFO    MainThread:340 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-07 21:18:27,980 INFO    MainThread:340 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-07 21:18:27,985 INFO    MainThread:340 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-07 21:18:27,986 INFO    MainThread:340 [wandb_init.py:_pause_backend():564] pausing backend
